,Pop/Rock,Country,Jazz,R&B;,Blues,Folk,Vocal,Electronic,Reggae,Classical,Avant-Garde,International,Latin,Stage & Screen,Religious,Easy Listening,Comedy/Spoken,New Age,Children's,Unknown
Pop/Rock,0.495869732,0.383519073,0.06697367,0.390404908,0.074174602,0.081382072,0.106557728,0.60773491,0.362043613,0.154699795,0.161347378,0,0.307880418,0.229003992,0.568780196,0.178635569,0.340842976,0.216544238,0.170719867,0.684210707
Country,0.495869732,0.495869732,0.407583407,0.618255504,0.810849621,0.757632279,0.695651351,0.133918362,0.578987309,0.41538072,0.352238771,0.607068714,0.796110877,0.399853478,0.402794023,0.508542283,0.361931332,0.291293165,0.882703454,0.743687621
Jazz,0.495869732,0.495869732,0.495869732,0.359063441,0.793442699,0.831264391,0.818311584,0.495752931,0.401276156,0.952002427,0.95513274,0.931781677,0.453766354,0.886020121,0.465423705,0.925743476,0.56249682,0.944798265,0.589192582,0.290671536
R&B;,0.495869732,0.495869732,0.495869732,0.495869732,0.577393073,0.395398908,0.360833606,0.565699864,0.942315615,0.204564982,0.288897786,0.541042729,0.889708907,0.15308373,0.376326185,0.179893442,0.490212634,0.220733165,0.633626636,0.540703445
Blues,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.926958008,0.893901993,0.157132752,0.603074808,0.690237749,0.63475272,0.92230482,0.747250437,0.607247903,0.378709974,0.747602741,0.584019259,0.567050163,0.914965202,0.547747206
Folk,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.994107869,0.169113606,0.422433007,0.871327241,0.782900038,0.921075127,0.564927743,0.806497458,0.527235989,0.850788091,0.627040521,0.739386702,0.860693376,0.411648125
Vocal,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.14970631,0.376635868,0.869602712,0.746854219,0.899543167,0.524489303,0.818085057,0.623561514,0.858439835,0.70931213,0.725748459,0.857700103,0.330608995
Electronic,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.57629411,0.437079313,0.558903811,0.300154011,0.373692326,0.494426792,0.374015908,0.419836611,0.383620533,0.608851382,0.163352156,0.297529354
Reggae,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.256866669,0.333893759,0.530294941,0.78292104,0.244017075,0.227019827,0.288880566,0.639052,0.259319561,0.671883273,0.530976757
Classical,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.990091758,0.86620832,0.320596479,0.982714946,0.588686478,0.944952913,0.608865863,0.985161289,0.557233531,0.262157459
Avant-Garde,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.859554306,0.35855662,0.930610697,0.531255982,0.873191445,0.543864733,1,0.470120443,0.29490832
International,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.679252188,0.7605729,0.497612139,0.795564919,0.612276726,0.792954467,0.765847938,0.401552344
Latin,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.303916066,0.306486442,0.359455948,0.379401946,0.299155329,0.764156191,0.687046753
Stage & Screen,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.512776544,0.97216328,0.596201523,0.968424906,0.541381414,0.259094386
Religious,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.431763966,0.599323554,0.554253973,0.434678525,0.300691147
Easy Listening,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.558248162,0.903569143,0.651475043,0.314670783
Comedy/Spoken,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.526928749,0.671808353,0.234584048
New Age,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.423743761,0.246705116
Children's,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.461170728
Unknown,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732,0.495869732
