,特征根,解释方差比
0,3.183846320112922,0.22737874605423558
1,1.7159998687969553,0.1225504811370562
2,1.4056384325640174,0.10038559404799152
3,1.2779582103607703,0.09126713608816424
4,1.0268602531137188,0.07333463152758303
5,0.9834355949443438,0.07023340008308414
6,0.9082897943060975,0.06486675979883826
7,0.8457827000851771,0.06040273004537241
8,0.7464894905416701,0.053311569478017413
9,0.6573132022083515,0.04694292269663577
10,0.5504426722047167,0.039310617409514935
11,0.3276478491152331,0.023399419943280042
12,0.28063474529972005,0.020041914737655098
13,0.09205280210574604,0.006574076952571276
